Title,,,,,,Date Created,Latitude,Longitude,Northing,Easting,Description,Biocontrol,Camera,Chemical c,Density,Detection method,Detection method description,id,Notes,Number of,Plot,Quarter,Seedling,Sex,Species,Status,timestamp,Tree#,X,Y,,,,,,,
cockelbur Infestation ,,,,,,2021-05-28T13:25:09+02:00,-24.17528817,30.9022614,7324768282,286894.8875,,,,,,,,,,,,,,,,,,,,,,,,,,,
cockelbur Infestation ,,,,,,2021-05-28T13:24:50+02:00,-24.17522264,30.90232873,7324775643,286901.6212,,,,,,,,,,,,,,,,,,,,,,,,,,,
cockelbur Infestation ,,,,,,2021-05-28T13:24:24+02:00,-24.17515372,30.90241575,7324783.41,286910349,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp Infestation. 6 clds large untreated ,,,,,,2021-05-28T11:50:06+02:00,-24.17544737,30.90016366,7324747448,286681.9839,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placemark 57,,,,,,2021-05-26T10:04:39+02:00,-24.15747453,30.95951832,7326827466,292684.3949,,,,,,,,,,,,,,,,,,,,,,,,,,,
mid fire ,,,,,,2021-05-26T10:03:19+02:00,-24.17049339,30.95525572,7325379128,292272.2607,,,,,,,,,,,,,,,,,,,,,,,,,,,
burn,,,,,,2021-05-25T09:40:52+02:00,-24.18547116,30.96553204,7323735.37,293340.6742,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pp,,,, small, car 4clds untreated ,2021-05-24T14:16:24+02:00,-24.21804162,30.84454657,7319943329,281102.9826,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pp,,,,large, vehicle 9clds untreated,2021-05-24T13:58:18+02:00,-24.20964747,30.83393401,7320856461,280010.4584,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pp,, large, 9 clds, untreated put bugs, vehicle,2021-05-24T12:00:11+02:00,-24.21148486,30.82327587,7320636097,278930823,,,,,,,,,,,,,,,,,,,,,,,,,,,
pp,, med, 5clds, drive, nursery ,2021-05-24T11:48:09+02:00,-24.21235803,30.82061459,7320535159,278661.9647,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped. 1.5 mesh ,,,,,,2021-05-20T14:53:49+02:00,-24.21342592,30.89477545,7320532457,286197.8188,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pp. small,,,, 2 clds, nursery ,2021-05-20T14:51:55+02:00,-24.21318265,30.89460863,7320559147,286180.4656,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped. 1.5 mesh ,,,,,,2021-05-20T14:50:18+02:00,-24.21322046,30.89460826,7320554959,286180.4904,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped. 1.5 mesh ,,,,,,2021-05-20T14:49:47+02:00,-24.21312436,30.89470254,7320565748,286189.9078,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped. 1.5 mesh ,,,,,,2021-05-20T14:49:14+02:00,-24.21313577,30.89461326,7320564347,286180.8576,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped 1.5 mesh ,,,,,,2021-05-20T14:30:31+02:00,-24.21231105,30.89409748,7320654909,286127.0826,,,,,,,,,,,,,,,,,,,,,,,,,,,
knobthorn wrapped,,,,, 1.5 mesh ,2021-05-20T14:29:57+02:00,-24.21241893,30.89425209,7320643196,286142.9688,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped,,,,, 1.5 mesh ,2021-05-20T14:06:01+02:00,-24.21210968,30.89417796,7320677337,286134.9222,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped,,,,, 30% debarked. 1.5 mesh ,2021-05-20T13:53:44+02:00,-24.21180495,30.89442468,7320711.47,286159.4768,,,,,,,,,,,,,,,,,,,,,,,,,,,
marula tree wrapped. 1.5 mesh. no previous damage ,,,,,,2021-05-20T13:42:35+02:00,-24.21061924,30.89359238,7320841531,286072.9425,,,,,,,,,,,,,,,,,,,,,,,,,,,
cockelbur ,,,,,,2021-05-20T11:36:58+02:00,-24.20395895,30.8972677,7321584898,286435.2137,,,,,,,,,,,,,,,,,,,,,,,,,,,
