Species,Quarter,NewControl,Latitude,Longitude,Northing,Easting
prickly pear,2020 - Quarter 1,Removed,-24.20321,30.87447,7321632.80232489,284117.788548883
prickly pear,2020 - Quarter 1,Both,-24.20333,30.87427,7321619.2009901,284097.671332696
prickly pear,2020 - Quarter 1,Bio,-24.20336,30.87434,7321615.98617888,284104.833714716
prickly pear,2020 - Quarter 1,Bio,-24.20369,30.87378,7321578.56690897,284048.495588778
prickly pear,2020 - Quarter 1,Both,-24.19327,30.86317,7322716.3236418,282952.895218731
prickly pear,2020 - Quarter 1,Both,-24.19327,30.8629,7322715.90412408,282925.461640433
prickly pear,2020 - Quarter 1,Bio,-24.18874,30.86837,7323226.171640949,283473.591571425
prickly pear,2020 - Quarter 1,Bio,-24.18855,30.86814,7323246.86110338,283449.900443285
prickly pear,2020 - Quarter 1,Both,-24.22241,30.87619,7319508.7177759,284324.882643799
prickly pear,2020 - Quarter 1,Removed,-24.2233,30.87046,7319401.26589018,283744.320459341
prickly pear,2020 - Quarter 1,Removed,-24.22479,30.87878,7319249.09091219,284591.986574466
prickly pear,2020 - Quarter 1,Removed,-24.22504,30.87962,7319222.69549752,284677.734543866
prickly pear,2020 - Quarter 1,Both,-24.22496,30.87953,7319231.41803224,284668.457726537
prickly pear,2020 - Quarter 1,Both,-24.20559,30.87267,7321366.39089551,283938.928042451
prickly pear,2020 - Quarter 1,Both,-24.20081,30.87077,7321892.9205521,283737.825744464
prickly pear,2020 - Quarter 1,Both,-24.2008,30.87081,7321894.09017082,283741.872843022
prickly pear,2020 - Quarter 1,Both,-24.20037,30.87154,7321942.85055723,283815.31481055
prickly pear,2020 - Quarter 1,Both,-24.20019,30.87107,7321962.06118315,283767.259051994
prickly pear,2020 - Quarter 1,Both,-24.20018,30.87107,7321963.16886238,283767.242172441
prickly pear,2020 - Quarter 1,Both,-24.20015,30.87107,7321966.49190007,283767.191533821
prickly pear,2020 - Quarter 1,Both,-24.20019,30.87116,7321962.20052258,283776.403051344
prickly pear,2020 - Quarter 1,Both,-24.19272,30.86281,7322776.686799851,282915.385390473
prickly pear,2020 - Quarter 1,Removed,-24.19284,30.86286,7322763.47230722,282920.668983614
prickly pear,2020 - Quarter 1,Removed,-24.1935,30.86329,7322691.03338825,282965.477467087
prickly pear,2020 - Quarter 1,Removed,-24.19345,30.86333,7322696.63394202,282969.457010076
prickly pear,2020 - Quarter 1,Dead,-24.19273,30.86403,7322777.47434224,283039.361964687
prickly pear,2020 - Quarter 1,Both,-24.18913,30.86806,7323182.49171826,283442.751661327
prickly pear,2020 - Quarter 1,Both,-24.18888,30.8678,7323209.78070218,283415.910888812
prickly pear,2020 - Quarter 1,Both,-24.18523,30.86038,7323602.56320457,282655.781130188
prickly pear,2020 - Quarter 1,Both,-24.18548,30.86031,7323574.7622668,282649.092146432
prickly pear,2020 - Quarter 1,Both,-24.18545,30.86032,7323578.10086825,282650.057402289
prickly pear,2020 - Quarter 1,Both,-24.18546,30.86027,7323576.91541627,282644.993749094
prickly pear,2020 - Quarter 1,Both,-24.18572,30.86017,7323547.960122991,282635.27340075
prickly pear,2020 - Quarter 1,Both,-24.17612,30.8606,7324612.00350516,282662.694549373
prickly pear,2020 - Quarter 1,Both,-24.17625,30.86065,7324597.68138379,282667.995831812
